ASX code,Company name,Listing date,GICs industry group,Market Cap
HPG,HIPAGES GROUP HOLDINGS LTD,12/11/20,Media & Entertainment,455107457
HPI,HOTEL PROPERTY INVESTMENTS,10/12/13,Real Estate,570783026
HPP,HEALTH AND PLANT PROTEIN GROUP LIMITED,14/12/89,"Food, Beverage & Tobacco",35618014
HPR,HIGH PEAK ROYALTIES LIMITED,30/3/07,Energy,10392602
HRL,HRL HOLDINGS LTD,14/11/07,Commercial & Professional Services,54315496
HRN,HORIZON GOLD LIMITED,21/12/16,Materials,41609886
HRR,HERON RESOURCES LIMITED,7/8/96,Materials,N/A
HRZ,HORIZON MINERALS LIMITED,6/2/92,Materials,70996900
HSC,HSC TECHNOLOGY GROUP LTD,2/6/06,Software & Services,35383308
HSN,HANSEN TECHNOLOGIES LIMITED,1/6/00,Software & Services,1215060877
HT1,HT&E LIMITED,7/5/92,Media & Entertainment,442296088
HT8,HARRIS TECHNOLOGY GROUP LIMITED,24/6/99,Retailing,37224435
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,17/8/99,Telecommunication Services,1492975943
HTG,HARVEST TECHNOLOGY GROUP LTD,12/5/16,Technology Hardware & Equipment,174889043
HUB,HUB24 LIMITED,5/7/07,Diversified Financials,1851829151
HUM,HUMM GROUP LIMITED,12/12/06,Diversified Financials,480410268
HUO,HUON AQUACULTURE GROUP LIMITED,23/10/14,"Food, Beverage & Tobacco",297755719
HVM,HAPPY VALLEY NUTRITION LIMITED,23/1/20,"Food, Beverage & Tobacco",35067375
HVN,HARVEY NORMAN HOLDINGS LIMITED,3/9/87,Retailing,6653675532
HWH,HOUSTON WE HAVE LIMITED,17/12/10,Software & Services,44356387
HWK,HAWKSTONE MINING LIMITED,8/7/71,Materials,51227288
HXG,HEXAGON ENERGY MATERIALS LIMITED,30/10/08,Materials,32112996
HXL,HEXIMA LIMITED.,1/12/20,"Pharmaceuticals, Biotechnology & Life Sciences",24208679
HYD,HYDRIX LIMITED,11/5/01,Technology Hardware & Equipment,27678640
HYM,HYPERION METALS LIMITED,16/4/18,Materials,99626204
HZN,HORIZON OIL LIMITED,30/6/81,Energy,181578441
HZR,HAZER GROUP LIMITED,2/12/15,Materials,127894626
IAG,INSURANCE AUSTRALIA GROUP LIMITED,8/8/00,Insurance,12128293014
IAP,IRONGATE GROUP,28/5/19,Real Estate,935701949
IBC,IRONBARK CAPITAL LIMITED,2/4/87,Not Applic,61583273
IBG,IRONBARK ZINC LTD,16/8/06,Materials,30069792
IBX,IMAGION BIOSYSTEMS LIMITED,22/6/17,Health Care Equipment & Services,91754514
ICE,ICETANA LIMITED,23/12/19,Software & Services,15759611
ICG,INCA MINERALS LIMITED,19/6/08,Materials,46780103
ICI,ICANDY INTERACTIVE LIMITED,4/2/16,Media & Entertainment,39794380
ICL,ICENI GOLD LIMITED,14/4/21,Materials,33927143
ICN,ICON ENERGY LIMITED,22/9/97,Energy,8964104
ICQ,ICAR ASIA LIMITED,11/9/12,Media & Entertainment,205518067
ICR,INTELICARE HOLDINGS LIMITED,25/5/20,Health Care Equipment & Services,15306747
ICS,ICSGLOBAL LIMITED,23/12/99,Health Care Equipment & Services,N/A
ICT,ICOLLEGE LIMITED,24/8/09,Consumer Services,61064288
ID8,IDENTITII LIMITED,17/10/18,Software & Services,13534834
IDA,INDIANA RESOURCES LIMITED,17/7/86,Materials,21033958
IDT,IDT AUSTRALIA LIMITED,18/2/91,"Pharmaceuticals, Biotechnology & Life Sciences",76755254
IDX,INTEGRAL DIAGNOSTICS LIMITED,21/10/15,Health Care Equipment & Services,1036841804
IDZ,INDOOR SKYDIVE AUSTRALIA GROUP LIMITED,18/1/13,Consumer Services,6734002
IEC,INTRA ENERGY CORPORATION LIMITED,4/7/07,Energy,3181792
IEL,IDP EDUCATION LIMITED,26/11/15,Consumer Services,8294419088
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,11/3/93,Real Estate,4487825
IFL,IOOF HOLDINGS LIMITED,5/12/03,Diversified Financials,2818067705
IFM,INFOMEDIA LTD,16/8/00,Software & Services,541097771
IFT,INFRATIL LIMITED.,30/8/10,Utilities,5264521980
IGE,INTEGRATED GREEN ENERGY SOLUTIONS LTD,23/11/89,Commercial & Professional Services,N/A
IGL,IVE GROUP LIMITED,16/12/15,Media & Entertainment,223695599
IGN,IGNITE LIMITED,16/1/97,Commercial & Professional Services,5195766
IGO,IGO LIMITED,17/1/02,Materials,6542793904
IHL,INCANNEX HEALTHCARE LIMITED,23/5/07,"Pharmaceuticals, Biotechnology & Life Sciences",288384492
IHR,INTELLIHR LIMITED,23/1/18,Software & Services,61689434
IKE,IKEGPS GROUP LIMITED,21/11/16,Technology Hardware & Equipment,149500124
IKW,IKWEZI MINING LIMITED,19/7/11,Energy,7723495
ILA,ISLAND PHARMACEUTICALS LIMITED,13/4/21,"Pharmaceuticals, Biotechnology & Life Sciences",26314752
ILU,ILUKA RESOURCES LIMITED,30/6/62,Materials,3716861064
IMA,IMAGE RESOURCES NL,4/7/02,Materials,184508173
IMC,IMMURON LIMITED,30/4/99,"Pharmaceuticals, Biotechnology & Life Sciences",N/A
IMD,IMDEX LIMITED,24/9/87,Materials,808762896
IME,IMEXHS LIMITED,14/12/05,Health Care Equipment & Services,54809716
IMM,IMMUTEP LIMITED,23/6/88,"Pharmaceuticals, Biotechnology & Life Sciences",381557997
IMR,"IMRICOR MEDICAL SYSTEMS, INC.",30/8/19,Health Care Equipment & Services,238832223
IMS,IMPELUS LIMITED,11/5/00,Media & Entertainment,N/A
IMU,IMUGENE LIMITED,24/11/93,"Pharmaceuticals, Biotechnology & Life Sciences",1696796101
INA,INGENIA COMMUNITIES GROUP,1/7/04,Real Estate,1924637732
IND,INDUSTRIAL MINERALS LTD,13/7/21,Materials,22067500
INF,INFINITY LITHIUM CORPORATION LIMITED,15/4/11,Materials,54358365
ING,INGHAMS GROUP LIMITED,7/11/16,"Food, Beverage & Tobacco",1445833648
INP,INCENTIAPAY LIMITED,9/9/14,Retailing,26267451
INR,IONEER LTD,19/12/07,Materials,742636791
INV,INVESTSMART GROUP LIMITED,21/4/05,Diversified Financials,34598884
IOD,IODM LIMITED,18/11/03,Software & Services,151357812
IOU,IOUPAY LIMITED,12/10/00,Media & Entertainment,129581835
IP1,INTEGRATED PAYMENT TECHNOLOGIES LIMITED,19/12/16,Software & Services,31809543
IPB,IPB PETROLEUM LIMITED,30/4/13,Energy,6884517
IPC,IMPERIAL PACIFIC LIMITED,28/7/71,Diversified Financials,5927369
IPD,IMPEDIMED LIMITED,17/7/07,Health Care Equipment & Services,156869632
IPH,IPH LIMITED,19/11/14,Commercial & Professional Services,1726770735
IPL,INCITEC PIVOT LIMITED,28/7/03,Materials,4972096074
IPT,IMPACT MINERALS LIMITED,29/11/06,Materials,28333129
IQ3,IQ3CORP LIMITED,18/5/15,Diversified Financials,15651150
IRD,IRON ROAD LIMITED,12/6/08,Materials,213915406
IRE,IRESS LIMITED,3/11/00,Software & Services,2461630247
IRI,INTEGRATED RESEARCH LIMITED,13/12/00,Software & Services,337540916
IS3,I SYNERGY GROUP LIMITED,30/3/17,Software & Services,8450457
ISD,ISENTIA GROUP LIMITED,5/6/14,Software & Services,34512142
ISU,ISELECT LIMITED.,24/6/13,Consumer Services,101600208
ISX,ISIGNTHIS LTD,7/12/98,Software & Services,N/A
ITG,INTEGA GROUP LIMITED,22/10/19,Capital Goods,230074697
IVC,INVOCARE LIMITED,4/12/03,Consumer Services,1548652880
IVO,,3/12/99,Media & Entertainment,
IVR,INVESTIGATOR RESOURCES LTD,3/4/07,Materials,97972049
IVT,INVENTIS LIMITED,14/4/99,Commercial & Professional Services,12606181
IVX,INVION LIMITED,15/2/10,"Pharmaceuticals, Biotechnology & Life Sciences",77553592
IVZ,INVICTUS ENERGY LTD,19/1/12,Energy,90686995
IXC,INVEX THERAPEUTICS LTD,5/7/19,"Pharmaceuticals, Biotechnology & Life Sciences",45092309
IXR,IONIC RARE EARTHS LIMITED,10/12/99,Materials,106834184
IXU,IXUP LIMITED,15/11/17,Software & Services,116159313
